frame,timestamp,focus,y_mean,y_std,b_mean,g_mean,r_mean,frame_delta
0,1777299669.5040293,240.73269740576092,9.75173611111111,3.8150806984804677,30.961987847222222,0.5422786458333333,19.741371527777776,0.0
1,1777299669.523717,217.3029050586654,9.575815972222221,3.664524496517689,30.462335069444446,0.4852170138888889,19.45652777777778,1.9252473958333334
2,1777299669.589061,195.98610712340553,9.369409722222223,3.5343716534775287,29.913823784722222,0.4382986111111111,19.06728732638889,1.7025144675925925
3,1777299669.5932646,172.6216409395948,9.106558159722223,3.3654745276255786,29.026128472222222,0.3821310763888889,18.641705729166667,1.4110908564814815
4,1777299669.6555696,161.43070618459433,9.041006944444444,3.2779040919561515,28.850186631944446,0.3511197916666667,18.538537326388887,1.4509577546296297
5,1777299669.6594803,153.48485594791367,9.030173611111111,3.2083997781644746,28.92363715277778,0.3259548611111111,18.527447916666667,1.4563802083333333
6,1777299669.7247498,138.26553900777557,8.849544270833333,3.0824474037965413,28.294283854166668,0.28665364583333336,18.249704861111113,1.253046875
7,1777299669.7287652,133.05315765333762,8.849952256944444,3.0354042978148437,28.32775173611111,0.2687760416666667,18.269110243055554,1.328855613425926
8,1777299669.7755966,129.6480307534112,8.881319444444445,3.0045601907137613,28.393138020833334,0.25601996527777776,18.372552083333332,1.3004181134259258
9,1777299669.789346,117.25280957634064,8.717821180555555,2.899838676541861,27.838815104166667,0.22192708333333333,18.112178819444445,1.171205150462963
10,1777299669.8517268,110.1542657740275,8.639835069444445,2.8354394697624565,27.553953993055554,0.2044878472222222,17.9905859375,1.1802126736111112
11,1777299669.8567865,113.08508479749892,8.722808159722222,2.860913667007851,27.858997395833335,0.2097482638888889,18.1383984375,1.1557609953703705
12,1777299669.9202166,103.72177641533749,8.567118055555556,2.775254998285263,27.454622395833333,0.1871267361111111,17.820763888888887,1.1327560763888889
13,1777299669.9243531,99.34256105293936,8.516345486111112,2.7355971022135823,27.230581597222223,0.1763107638888889,17.75828559027778,1.074710648148148
14,1777299669.9885645,100.09610773533952,8.5406640625,2.7465263876230797,27.202964409722224,0.17797309027777777,17.847708333333333,1.0625795717592592
15,1777299669.993987,94.84341116444149,8.468120659722222,2.7018767961460317,26.94578125,0.16696614583333333,17.723854166666666,1.0530888310185185
16,1777299670.0531242,97.36176750486395,8.505924479166667,2.7265412889862133,27.11677517361111,0.17032118055555556,17.77501736111111,1.0215711805555556
17,1777299670.05773,88.59792311009535,8.372282986111111,2.6469631767003765,26.670160590277778,0.149296875,17.545759548611112,1.0274377893518518
18,1777299670.1203952,88.79356153924259,8.391011284722222,2.64834459593743,26.74921875,0.14957899305555555,17.57312065972222,0.9775144675925926
19,1777299670.1278381,89.41148316868912,8.400425347222223,2.6494722010392446,26.770859375,0.15092881944444445,17.587799479166666,0.9736096643518518
